rank_in_observation,observed_share_exact,shifted_share_exact
168,3003195311/88836216831666463,15139799773704521389417669/529766406503445808410192249874040
169,151120074/88836216831666463,54416508923185632895089/37840457607388986315013732133860
170,436641/88836216831666463,2201207923033453325739/529766406503445808410192249874040
171,380796/88836216831666463,479920101559087953621/132441601625861452102548062468510
172,111124/88836216831666463,140050424284005319799/132441601625861452102548062468510
173,77938/88836216831666463,28064530146109125493/37840457607388986315013732133860
174,72214/88836216831666463,182023709356127572153/264883203251722904205096124937020
175,67808/88836216831666463,42729469645845329204/66220800812930726051274031234255
176,38340/88836216831666463,9664038852180922143/26488320325172290420509612493702
177,31665/88836216831666463,31926112702588304607/105953281300689161682038449974808
178,28335/88836216831666463,28568653195257843393/105953281300689161682038449974808
179,19893/88836216831666463,100285198167154451847/529766406503445808410192249874040
180,139/5225659813627439,11912427651384203977/529766406503445808410192249874040
